x,y,z
-6.017634379240917,-5.596709765071182,-45.033217745637245
-6.176452624212795,-5.596709765662055,-45.19555171090178
-6.176452624158001,-5.402019060711609,-45.03321774632555
-6.1764526241296664,-5.59670976433199,-44.838516550837085
-6.176452624191645,-5.787360704998719,-45.03321774489004
-7.017272936296649,1.4032902312908107,-46.03321777148153
-7.1764526238409125,1.4032902305964967,-46.223327978048474
-7.176452623782257,1.568134744244162,-46.03321777205856
-7.176452623752388,1.4032902320128926,-45.84311710158363
-6.917962538514985,0.40329022755685173,-47.03321776777936
-7.176452624177914,0.40329022660145597,-47.29573808098212
-7.176452624090823,0.7007145439856686,-47.03321776882717
-7.1764526238173225,1.1665157867246307,-46.033217770562416
-7.176452624033262,0.4032902289159068,-46.6744574108161
-6.930171954038087,-0.5967097724420825,-47.03321776405123
-7.176452624262476,-0.596709773354533,-47.28392395982519
-7.176452624135079,-0.5967097713162133,-46.736765718553215
-7.176452624226409,-0.8521914923912846,-47.033217763042146
-6.906420218292624,-2.596709768718867,-46.03321775660618
-7.176452624209885,-2.5967097697191264,-46.308052389416844
-7.1764526241177595,-2.2744632171816193,-46.03321775774377
-7.176452624056983,-2.5967097672727064,-45.65134605625644
-6.836452471645316,-3.5967097687249776,-46.03321775289718
-7.17645262431237,-3.5967097699618975,-46.37321981275454
-7.176452623957767,-3.1086955437785946,-45.03321775463601
-6.807364451087778,-3.596709765002224,-45.03321775290395
-7.176452623886702,-3.5967097631512104,-44.54499086225405
-7.176452624267629,-3.9909625457949005,-46.03321775134931
-6.700520502810832,-4.596709765011553,-45.03321774920354
-7.176452624200326,-4.596709766772236,-45.51700051734224
-7.176452623812011,-4.105994734389242,-44.033217750920784
-6.800033556472044,-4.596709761277573,-44.033217749180366
-7.176452623753978,-4.596709759630656,-43.59994729468599
-7.176452624286489,-5.5967097667538255,-45.51205905014649
-6.692441450693877,-5.596709761286974,-44.03321774548013
-7.176452623824183,-5.596709759356948,-43.526475267950445
-6.767514216364361,-6.596709765005706,-45.03321774173736
-7.1764526243481015,-6.596709766342656,-45.401687933597714
-6.745039450353943,-6.596709761282376,-44.03321774174259
-7.176452623914855,-6.5967097594107145,-43.54090721765533
-7.1764526243039555,-7.073676622880157,-45.03321773986531
-6.892237173829926,-7.596709761269523,-44.03321773798303
-7.176452624207446,-7.596709762695184,-44.422577212098986
-7.176452624037957,-7.596709759983355,-43.69462520861998
-7.176452624145771,-7.928615126234945,-44.03321773668041
-8.02716539966059,2.4032902351042793,-45.03321777497169
-8.176452623517577,2.403290234460215,-45.20960603863932
-8.176452623463957,2.5470280280860607,-45.033217775472394
-8.176452623442357,2.403290235663711,-44.88654457242228
-8.176452623906892,1.4032902296281549,-46.506702764192596
-8.176452623756493,1.8632015778275672,-46.03321777292494
-7.788329111295752,1.4032902350834249,-45.033217771302006
-8.17645262348277,1.4032902364140796,-44.68511901632883
-8.176452624215603,0.40329022608575116,-47.45760856033303
-8.1764526240748,0.8842205560358707,-47.033217769277954
-7.623462664167164,0.403290231343739,-46.0332177676151
-8.176452623752558,0.40329023349445947,-45.46884904266335
-8.176452623604638,0.9357838264259044,-45.03321776947004
-8.176452624302742,-0.5967097739115133,-47.45687375054695
-7.68534849799471,-0.5967097686508609,-46.0332177638754
-8.176452623839605,-0.5967097665012915,-45.46770844445564
-8.176452624246188,-1.078734918817645,-47.033217761965375
-7.6925606600998435,-1.5967097686502285,-46.03321776014843
-8.176452624173066,-1.5967097704397162,-46.52491983980872
-8.176452623781316,-1.0877566704002675,-45.033217761931766
-7.790685163956368,-1.596709764916369,-45.03321776012559
-8.176452623709386,-1.5967097630208187,-44.533425661036745
-8.176452624259188,-2.5967097704206594,-46.51980623439886
-7.562944876262918,-2.596709764936257,-45.033217756453325
-8.176452623636578,-2.096709761157399,-44.03321775817312
-7.790379511192441,-2.596709761191107,-44.03321775640037
-8.176452623563813,-2.5967097592946686,-43.5331958218012
-8.176452624335617,-3.596709770246534,-46.47306379140355
-7.562589155597379,-3.5967097612109953,-44.03321775272811
-8.176452623491059,-3.096705942734843,-43.03321775444785
-7.790493475127732,-3.59670975746581,-43.03321775267505
-8.176452623418026,-3.5967097555650867,-42.53204377950169
-8.176452624282586,-4.162253897025948,-46.03321775047837
-8.17645262423407,-4.596709767224802,-45.661923250416294
-7.624193655268755,-4.596709757480326,-43.03321774898848
-8.176452623346329,-4.1057429568318184,-42.03321775068889
-7.805937753699254,-4.5967097537391695,-42.033217748946164
-8.176452623288323,-4.596709752092856,-41.5999730436597
-8.176452624292946,-5.596709766769848,-45.53979762108065
-7.609898077353137,-5.596709757481577,-43.03321774526652
-7.743326650728704,-5.5967097537446335,-42.03321774523545
-8.176452623360161,-5.596709751845289,-41.53351719886996
-8.176452624377173,-6.59670976672048,-45.52654583589174
-7.616355883073993,-6.596709757481008,-43.03321774153972
-7.805899606901221,-6.5967097537391695,-42.03321774149559
-8.176452623462941,-6.596709752092771,-41.59995014802553
-7.630856501607923,-7.596709764930324,-45.03321773781106
-8.17645262445203,-7.5967097665212435,-45.47306329966523
-7.676773058454273,-7.596709757475736,-43.03321773780037
-8.176452623750254,-7.5967097552927925,-42.45894939661957
-8.176452623607476,-7.096736456587678,-42.03321773954657
-7.829833018418867,-8.596709764912951,-45.03321773403944
-8.176452624516472,-8.596709766155314,-45.37483531818725
-7.693241583707277,-8.596709761199591,-44.03321773407124
-7.809198843606282,-8.596709757464176,-43.03321773404424
-8.176452623872443,-8.596709755850839,-42.60874969349243
-8.17645262446719,-8.943252123281127,-45.033217732667765
-8.176452624246878,-9.086619886889821,-44.03321773213368
-8.176452624007657,-9.01343873082078,-43.0332177324063
-8.357294069399359,2.403290235133099,-45.03321777489482
-9.176452623893642,1.4032902299274355,-46.44980130903423
-9.176452623763995,1.7772945954930037,-46.03321777237208
-9.176452623522252,1.8793720833491534,-45.03321777275235
-9.176452623449444,1.403290237034625,-44.541981084272265
-9.17645262420414,0.4032902263564466,-47.408380845561624
-9.176452624080312,0.8210873163770884,-47.03321776880993
-8.604519354150398,0.4032902351546852,-45.03321776738668
-9.176452623517717,0.40329023733923464,-44.46021209098399
-9.176452624314939,-0.5967097740193381,-47.50925621949136
-8.553102480305824,-0.5967097648498054,-45.03321776367336
-9.176452623461847,-0.09546235506422818,-44.03321776539552
-8.791457162995357,-0.5967097611037033,-44.03321776361787
